NER
PEOPLE : thin
PEOPLE : thin man
PEOPLE : thirteen
PEOPLE : thorne
PEOPLE : thoros
PEOPLE : throne
PEOPLE : tickler
PEOPLE : titan
PEOPLE : tommen
PEOPLE : tormund
PEOPLE : torrhen
PEOPLE : torrhen karstark
PEOPLE : tower
PEOPLE : town
PEOPLE : trant
PEOPLE : trident
PEOPLE : trystane
PEOPLE : trystane martell
PEOPLE : tully
PEOPLE : twins
PEOPLE : tycho
PEOPLE : tyene
PEOPLE : tyrell
PEOPLE : tyrells
PEOPLE : tyrion
PEOPLE : tyrion lannister
PEOPLE : tywin
PEOPLE : tywin lannister
PEOPLE : umber
PEOPLE : unsullied
PEOPLE : vaes dothrak
PEOPLE : vala
PEOPLE : valar morghulis
PEOPLE : vale
PEOPLE : valyria
PEOPLE : valyrian
PEOPLE : vardis
PEOPLE : varys
PEOPLE : viper
PEOPLE : viserys
PEOPLE : volantis
PEOPLE : waif
PEOPLE : walda
PEOPLE : walder
PEOPLE : walder frey
PEOPLE : walder's
PEOPLE : walker
PEOPLE : walkers
PEOPLE : wall
PEOPLE : war
PEOPLE : watch
PEOPLE : water dancer
PEOPLE : water gardens
PEOPLE : waynwood
PEOPLE : weirwood
PEOPLE : weiss
PEOPLE : westeros
PEOPLE : whispering wood
PEOPLE : white
PEOPLE : white walker
PEOPLE : white walkers
PEOPLE : wildfire
PEOPLE : wildlings
PEOPLE : will
PEOPLE : willem
PEOPLE : winter
PEOPLE : winterfell
PEOPLE : wise masters
PEOPLE : wun wun
PEOPLE : wylis
PEOPLE : xaro
PEOPLE : yara
PEOPLE : yarwyck
PEOPLE : yezzan
PEOPLE : ygritte
PEOPLE : yoren
PEOPLE : young cersei
PEOPLE : yunkai
